cluster	feature	p_c	p_rest	delta_p	delta_p_ci_lo	delta_p_ci_hi	cohens_h	log_OR	fisher_p	support	fisher_p_bh	bh_reject	is_defining_descriptive
0	amr_00	0.9752066115702479	0.7088607594936709	0.266345852076577	0.16719322104822684	0.36755675279840977	0.823625827827156	2.644909775077536	4.886430188045817e-08	118	8.144050313409695e-08	True	True
0	amr_01	0.049586776859504134	0.20253164556962025	-0.15294486871011612	-0.2562428078250863	-0.06257976775813377	-0.4844823359126801	-1.5297888280681458	0.0010270092039377302	6	0.001382512389916175	True	False
0	amr_02	0.9834710743801653	0.1518987341772152	0.8315723402029501	0.7409326289360813	0.9031279422533738	2.0830466594639967	5.553424593067639	6.854067028827746e-38	119	3.427033514413873e-37	True	True
0	amr_03	0.008264462809917356	0.13924050632911392	-0.13097604351919656	-0.21958363845590542	-0.059420441468772886	-0.5827331346862685	-2.60169793492357	0.00018741709730581236	1	0.000273316600237643	True	False
0	amr_04	0.9917355371900827	0.24050632911392406	0.7512292080761587	0.6582278481012658	0.8354430379746836	1.9343925970006615	5.51841354428964	6.635415867708549e-33	120	2.90299444212249e-32	True	True
0	amr_05	0.03305785123966942	0.3291139240506329	-0.29605607281096347	-0.4161575478606549	-0.1821058688147296	-0.8563240967041048	-2.559824015898155	1.1511028594582995e-08	4	2.2382555600578047e-08	True	True
0	amr_06	0.04132231404958678	0.08860759493670886	-0.04728528088712208	-0.1188670363008683	0.02602782717857509	-0.1950915721792998	-0.7844596394489657	0.22449536465011422	5	0.24554180508606244	False	False
0	amr_07	0.9834710743801653	0.3670886075949367	0.6163824667852287	0.5068521811905011	0.7284679359765664	1.5820102345031295	4.4046087124329505	6.374570441692311e-24	119	2.2310996545923085e-23	True	True
0	amr_08	0.9752066115702479	0.5063291139240507	0.46887749764619724	0.35108274924155247	0.5784077832409249	1.241903380067272	3.4971486898744004	5.241819181600006e-16	118	1.6678515577818202e-15	True	True
0	amr_09	0.008264462809917356	0.4050632911392405	-0.3967988283293231	-0.5063291139240507	-0.28938173449105564	-1.1976935534524962	-4.006695023117642	2.6644035090535638e-14	1	6.661008772633909e-14	True	False
0	amr_10	0.03305785123966942	0.13924050632911392	-0.1061826550894445	-0.19039648498796946	-0.021694214876033072	-0.39913241677528116	-1.4778742269089644	0.01085452529622966	4	0.013568156620287073	True	False
0	amr_11	0.01652892561983471	0.1518987341772152	-0.13536980855738048	-0.22600951982424938	-0.0638142065069568	-0.5428591818860291	-2.1806266859271815	0.0003432482224453037	2	0.0004805475114234252	True	False
