cluster	feature	p_c	p_rest	delta_p	delta_p_ci_lo	delta_p_ci_hi	cohens_h	log_OR	fisher_p	support	fisher_p_bh	bh_reject	is_defining_descriptive
0	amr_00	0.95	0.1125	0.8374999999999999	0.77171875	0.9	2.006484609998201	4.874784611680642	1.3660805109147512e-39	76	1.3660805109147513e-38	True	True
0	amr_01	0.8625	0.11875	0.74375	0.6375	0.8378124999999997	1.6782028183413404	3.7808649687151332	1.3066034634925196e-30	69	3.9198103904775585e-30	True	True
0	amr_02	0.9125	0.1	0.8125	0.7374999999999999	0.8875	1.8974974179304582	4.452301512322478	4.562898786593234e-37	73	2.2814493932966165e-36	True	True
0	amr_03	0.9125	0.06875	0.84375	0.7687499999999999	0.9125	2.0103914222981634	4.847331743138063	6.037993786496147e-41	73	1.2075987572992294e-39	True	True
0	amr_04	0.9375	0.1	0.8375	0.76875	0.90625	1.9927310345123521	4.789303690662506	1.2445839706936518e-39	75	1.3660805109147513e-38	True	True
0	amr_05	0.85	0.06875	0.78125	0.69375	0.8624999999999999	1.8155867189800707	4.266054458421461	3.158955921730265e-35	68	1.3538382521701133e-34	True	True
0	amr_06	0.925	0.0875	0.8375	0.7625	0.9	1.986187493743671	4.751873727514516	8.333352636096768e-40	74	1.2500028954145153e-38	True	True
0	amr_07	0.9375	0.11875	0.81875	0.74375	0.8875	1.9326042405644988	4.601269815530145	1.5554010528897127e-37	75	9.332406317338277e-37	True	True
0	amr_08	0.0875	0.5625	-0.475	-0.56578125	-0.375	-1.095530031096911	-2.5321195265641836	9.269894179731489e-14	7	2.2247746031355573e-13	True	True
0	amr_09	0.0875	0.49375	-0.40625	-0.5	-0.31875	-0.9577018743851221	-2.257536387089995	1.005571310792729e-10	7	1.5470327858349676e-10	True	True
0	amr_10	0.05	0.50625	-0.45625	-0.54375	-0.35625	-1.132269840542358	-2.858059342642747	8.701713625703461e-14	4	2.1754284064258652e-13	True	True
0	amr_11	0.0625	0.51875	-0.45625000000000004	-0.53125	-0.35624999999999996	-1.102944611139728	-2.6939532595140623	1.7605511233035698e-13	5	4.0628102845467e-13	True	True
0	amr_12	0.125	0.49375	-0.36875	-0.46578125	-0.26875000000000004	-0.8355617534377574	-1.8793914540682144	8.098494951768483e-09	10	8.998327724187204e-09	True	True
0	amr_13	0.1	0.5125	-0.4125	-0.5125000000000001	-0.31546875000000013	-0.9522978229009732	-2.1932200669166306	7.453587958312731e-11	8	1.2086899391858482e-10	True	True
0	amr_14	0.0875	0.53125	-0.44375	-0.5375	-0.34375	-1.032742961725337	-2.406766105364262	3.035550691752385e-12	7	6.220015171306444e-12	True	True
